fhrsid,business_name,category,postcode,v3_rank,v3_final,v3_band,v3_confidence,v4_final,v4_class,v4_rankable,v4_league_eligible,delta,v4_trust,v4_customer,v4_commercial,v4_platforms,v4_reviews,v3_sentiment,v3_red_flags,v3_google_tier,v4_penalties,v4_caps,primary_reason,reason_tags
1016715,Shakespaw Cat Cafe,Cafe / Coffee Shop,CV37 6QT,3,9.837,Excellent,Low,8.363,Rankable-B,True,True,-1.474,9.873,8.976,2.5,google,952,,0,9.229,,,missing_source_discipline,missing_source_discipline
1388307,Chrissie's Kitchen,Takeaway,CV35,65,8.733,Excellent,Low,7.262,Rankable-B,True,True,-1.471,7.0,9.083,2.5,google,79,,0,8.53,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
1056848,Espresso Barn,Cafe / Coffee Shop,CV37 8RB,7,9.675,Excellent,Low,8.209,Rankable-B,True,True,-1.466,9.806,8.693,2.5,google,501,,0,9.2,,,missing_source_discipline,missing_source_discipline
503854,The Lime Tree Restaurant,Other,CV37 8LW,13,9.453,Excellent,Low,8.039,Rankable-B,True,True,-1.414,9.544,8.547,2.5,google,1817,,0,9.52,,,missing_source_discipline,missing_source_discipline
736236,JNB Cafe,Cafe / Coffee Shop,CV37 0ER,89,8.498,Excellent,Low,7.105,Rankable-B,True,True,-1.393,7.0,8.733,2.5,google,194,,0,8.73,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
1896718,Birmingham City Football Club Ltd,Other,B95 6AB,,8.743,Not Ranked,Low,7.351,Rankable-B,True,True,-1.392,9.902,7.533,0.0,google,11,,0,6.709,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
503585,Redwings Horse Sanctuary,Other,CV35 0RP,,8.308,Not Ranked,Low,6.919,Rankable-B,True,True,-1.389,7.0,9.153,0.0,google,566,,0,9.43,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
1155879,Mid-England Barrow Ltd,Other,OX17,,6.846,Not Ranked,Low,5.498,Directional-C,False,False,-1.348,5.0,6.939,2.5,google,2,,0,6.401,,STALE-5Y,low_evidence_gating,low_evidence_gating|penalty_logic|missing_source_discipline|shrinkage_low_counts
503141,NFU Mutual,Other,CV37 7BJ,,9.079,Not Ranked,Low,7.735,Rankable-B,True,True,-1.344,9.041,8.319,2.5,google,98,,0,7.955,,,missing_source_discipline,missing_source_discipline
1790270,Bardia's,Cafe / Coffee Shop,CV37 6EE,181,6.177,Generally Satisfactory,Low,7.476,Rankable-B,True,True,1.299,5.877,8.889,7.5,google,416,,0,9.172,,,missing_source_discipline,missing_source_discipline
