id,fhrsid,name,rcs_v4_final,base_score,adjusted_score,confidence_class,coverage_status,rankable,league_table_eligible,companies_house,penalties,caps
503102,503102,Ashorne Hill Management College,8.601,8.601,8.601,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1826833,1826833,Revs Automobilia,8.362,8.362,8.362,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1176874,1176874,The Garden Shed Cafe,8.362,8.362,8.362,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1838728,1838728,Elders Who Lunch (Hartley Locums),7.983,7.983,7.983,Rankable-B,coverage-partial,True,True,unmatched,[],[]
503734,503734,Premier Inn,8.474,8.474,8.474,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503711,503711,Arden Tandoori,8.725,8.725,8.725,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503931,503931,Bella Italia Also Trading As Super Nonna,,7.659,7.659,Directional-C,coverage-partial,False,False,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=744, r=5""}]"
1411434,1411434,Earlswood Lunch Club,7.288,7.288,7.288,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1206079,1206079,Building 523 Costa And Kitchen,8.711,8.711,8.711,Directional-C,coverage-partial,False,False,unmatched,[],[]
502838,502838,Alveston Manor Hotel,7.843,7.843,7.843,Rankable-B,coverage-ready,True,True,unmatched,[],[]
502681,502681,Billesley Manor Hotel,7.892,7.892,7.892,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1622078,1622078,Sushi Land,8.373,8.373,8.373,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1622076,1622076,Caffe Nero,7.906,7.906,7.906,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=919, r=5""}]"
676557,676557,Plantarium,9.311,9.311,9.311,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503319,503319,Shipston Pizza And Kebab House,7.286,7.286,7.286,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503369,503369,Studley Castle,8.387,8.387,8.387,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1131857,1131857,Stratford Town FC,8.346,8.346,8.346,Rankable-B,coverage-ready,True,True,unmatched,[],[]
502970,502970,China Garden,6.024,6.024,6.024,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1584576,1584576,Libertine Burger,8.529,8.529,8.529,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1317981,1317981,Kolshi Restaurant,9.311,9.311,9.311,Rankable-B,coverage-ready,True,True,unmatched,[],[]
502816,502816,Loxleys Restaurant And Wine Bar,9.144,9.144,9.144,Rankable-B,coverage-ready,True,True,unmatched,[],[]
